session_id,participant_id,label,frame_index,timestamp,ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,33,85130.6871,-0.013890,-0.020552,1.249158,0.664046,0.003883,-0.258504,0.026616,-0.224199,-0.974180
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,34,85130.6971,0.027007,0.052112,1.261375,0.257180,0.034473,-0.178620,0.027406,-0.228656,-0.973121
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,35,85130.7072,0.061349,0.121186,1.330649,-0.126609,-0.077765,-0.033715,0.027518,-0.229233,-0.972983
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,36,85130.7173,0.086144,0.147470,1.377792,-0.426564,-0.292725,0.107744,0.025657,-0.226480,-0.973678
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,37,85130.7273,0.083367,0.127831,1.367376,-0.614780,-0.539582,0.172024,0.021247,-0.221336,-0.974966
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,38,85130.7374,0.061029,0.077110,1.287818,-0.702817,-0.744497,0.151362,0.014548,-0.214851,-0.976538
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,39,85130.7474,0.031549,0.020694,1.171399,-0.779240,-0.935850,0.087990,0.006049,-0.207613,-0.978192
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,40,85130.7575,0.008367,-0.006638,1.079597,-0.996098,-1.022065,0.040873,-0.003835,-0.199020,-0.979988
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,41,85130.7675,-0.005451,0.024214,0.946906,-1.467733,-0.975712,0.091083,-0.013866,-0.187009,-0.982260
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,42,85130.7776,-0.013226,0.106678,0.793569,-2.075685,-0.849850,0.197484,-0.023212,-0.169452,-0.985265
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,43,85130.7877,-0.023048,0.155016,0.619493,-2.665257,-0.722173,0.319815,-0.031426,-0.145785,-0.988817
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,44,85130.7977,-0.029747,0.172170,0.415920,-3.047807,-0.605674,0.434162,-0.038505,-0.117025,-0.992382
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,45,85130.8078,-0.037957,0.168762,0.195792,-3.153448,-0.549538,0.494940,-0.044715,-0.085647,-0.995322
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,46,85130.8178,-0.052444,0.148875,-0.011570,-2.969054,-0.532594,0.462812,-0.050476,-0.054560,-0.997234
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,47,85130.8279,-0.064820,0.112855,-0.215880,-2.559114,-0.538243,0.375450,-0.056015,-0.026490,-0.998078
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,48,85130.8380,-0.077535,0.100492,-0.383335,-2.046823,-0.533827,0.246992,-0.061473,-0.003171,-0.998104
A25F7337-57DE-4A3C-BD65-464F88BE4F9A,primary,bounce,49,85130.8480,-0.082286,0.090654,-0.510631,-1.585604,-0.521093,0.115745,-0.066762,0.015105,-0.997655
